source_organisation,destination_organisation,Sum - amountUSD
"United States of America, Government of",World Food Programme,481016791
World Food Programme,World Food Programme,371248519
"United States of America, Government of",empty,246742109
"United States of America, Government of",United Nations High Commissioner for Refugees,78800000
"United Kingdom , Government of",World Food Programme,70664071
European Commission's Humanitarian Aid and Civil Protection Department,UN Agencies;Red Cross Organizations;NGOs,64700000
UN Agencies;Red Cross Organizations;NGOs,World Food Programme,63865727
"Japan, Government of",empty,61320000
empty,World Food Programme,57148533
empty,Catholic Relief Services,54316241
"United Kingdom , Government of",South Sudan CHF,52505255
"United States of America, Government of",International Committee of the Red Cross,40100000
"United Kingdom , Government of",International Committee of the Red Cross,30277690
empty,United Nations High Commissioner for Refugees,26694277
"United States of America, Government of",United Nations Children's Fund,24933117
"Germany, Government of",World Food Programme,24466345
Common Humanitarian Fund,South Sudan CHF,21374478
UN Agencies;Red Cross Organizations;NGOs,International Committee of the Red Cross,20134228
"Norway, Government of",empty,20000000
empty,United Nations Children's Fund,19450617
"Switzerland, Government of",empty,19400000
"Canada, Government of",World Food Programme,17702597
empty,International Organization for Migration,17604706
"United Kingdom , Government of",United Nations Children's Fund,16647739
South Sudan CHF,International Organization for Migration,16125316
"Netherlands, Government of",empty,15100000
"Sweden, Government of",empty,14600000
Food & Agriculture Organization of the United Nations,Food & Agriculture Organization of the United Nations,13961658
empty,Food & Agriculture Organization of the United Nations,13562147
"United Kingdom , Government of",Food & Agriculture Organization of the United Nations,13265011
empty,South Sudan CHF,13045425
South Sudan CHF,United Nations Children's Fund,12546653
South Sudan CHF,World Food Programme,11359004
"United States of America, Government of",International Organization for Migration,11100000
empty,International Committee of the Red Cross,10187516
"United States of America, Government of",Catholic Relief Services,10164858
"United Kingdom , Government of",International Organization for Migration,9564000
"Germany, Government of",United Nations High Commissioner for Refugees,8801614
"United States of America, Government of",International Rescue Committee,8529221
European Commission,Concern Worldwide,8323039
"United States of America, Government of",MEDAIR,8257767
"United Kingdom , Government of",Concern Worldwide,8071231
"Australia, Government of",South Sudan CHF,7395964
empty,Norwegian Refugee Council,6929751
South Sudan CHF,Food & Agriculture Organization of the United Nations,6411231
"Norway, Government of",South Sudan CHF,6398917
Private (individuals & organisations),World Vision South Sudan,6375214
UN Agencies;Red Cross Organizations;NGOs,United Nations Children's Fund,6010929
empty,United Nations Development Programme,6000000
UN Agencies;Red Cross Organizations;NGOs,International Organization for Migration,5479275
UN Agencies;Red Cross Organizations;NGOs,MEDAIR,5452193
"United States of America, Government of",Mentor Initiative,5449406
"United Kingdom , Government of",Mercy Corps ,5303030
"Canada, Government of",World Vision South Sudan,5130399
Private (individuals & organisations),MEDAIR,5051514
"China, Government of",World Food Programme,5000000
empty,Japan Platform,5000000
"Italy, Government of",empty,5000000
UN Agencies;Red Cross Organizations;NGOs,International Medical Corps UK,4984935
empty,International Rescue Committee,4753737
empty,Concern Worldwide,4673895
empty,World Relief,4635036
empty,CARE International,4542252
Central Emergency Response Fund,United Nations Children's Fund,4533643
"Belgium, Government of",South Sudan CHF,4418221
"United States of America, Government of",GOAL,4378422
UN Agencies;Red Cross Organizations;NGOs,Solidarit̩s International,4333694
"Denmark, Government of",ACT Alliance / DanChurchAid,4266019
"Finland, Government of",World Food Programme,4237293
empty,International Medical Corps UK,4215493
empty,World Vision South Sudan,4184305
"Switzerland, Government of",International Committee of the Red Cross,4115226
empty,United Nations Operation Programme Support,4100000
"Japan, Government of",United Nations Office for Project Services,4100000
Private (individuals & organisations),Agency for Technical Cooperation and Development,4096521
"Ireland, Government of",Concern Worldwide,4066979
"United States of America, Government of",World Vision South Sudan,3923578
"Canada, Government of",International Committee of the Red Cross,3883106
UN Agencies;Red Cross Organizations;NGOs,United Nations High Commissioner for Refugees,3769681
South Sudan CHF,Concern Worldwide,3721145
empty,World Health Organization,3650000
"United States of America, Government of",OXFAM GB,3635214
empty,UN Women,3500000
"Sweden, Government of",International Committee of the Red Cross,3483511
"United States of America, Government of",Concern Worldwide,3474366
"Denmark, Government of",Danish Refugee Council,3452512
"United States of America, Government of",Samaritan's Purse,3416423
"Canada, Government of",International Organization for Migration,3326838
"Norway, Government of",United Nations Children's Fund,3267974
"Ireland, Government of",South Sudan CHF,3255570
empty,Office for the Coordination of Humanitarian Affairs,3254915
empty,United Nations Population Fund,3220000
United Nations Advance Mission in Sudan,United Nations Mine Action Service,3183399
"United States of America, Government of",Agency for Technical Cooperation and Development,3144940
Central Emergency Response Fund,World Food Programme,3132092
South Sudan CHF,OXFAM GB,3122196
"Germany, Government of",Johanniter Unfallhilfe e.V.,3054038
"Norway, Government of",Save the Children ,3052647
"United States of America, Government of",Save the Children ,3000000
"Denmark, Government of",South Sudan CHF,2985306
"United States of America, Government of",ACF - USA,2981329
"United Kingdom , Government of",International Rescue Committee,2972086
"Belgium, Government of",TEARFUND,2950842
"Denmark, Government of",United Nations Children's Fund,2945074
"United States of America, Government of",Mercy Corps ,2897344
"Switzerland, Government of",World Food Programme,2861660
South Sudan CHF,United Nations Office for Project Services,2835026
empty,Solidarit̩s International,2800000
UN Agencies;Red Cross Organizations;NGOs,M̩decins sans Fronti̬res - Netherlands,2796421
European Commission,Norwegian Refugee Council,2758621
"United States of America, Government of",Danish Refugee Council,2745000
"Germany, Government of",International Committee of the Red Cross,2711509
UN Agencies;Red Cross Organizations;NGOs,M̩decins sans Fronti̬res - Belgium,2708559
UN Agencies;Red Cross Organizations;NGOs,Agency for Technical Cooperation and Development,2698731
"Norway, Government of",Norwegian Refugee Council,2642945
Private (individuals & organisations),ACT Alliance / Lutheran World Federation,2639856
"Australia, Government of",World Food Programme,2582288
"United States of America, Government of",Food & Agriculture Organization of the United Nations,2553811
UN Agencies;Red Cross Organizations;NGOs,International Rescue Committee,2544182
empty,Private (individuals & organisations),2509199
empty,United Nations Mine Action Service,2500000
"Canada, Government of",M̩decins sans Fronti̬res - Canada,2401922
empty,United Nations Human Settlements Programme (UN-HABITAT),2400000
"Denmark, Government of",Save the Children ,2379425
"Finland, Government of",International Committee of the Red Cross,2244669
International Organization for Migration,International Organization for Migration,2215656
Private (individuals & organisations),Norwegian Refugee Council,2212389
UN Agencies;Red Cross Organizations;NGOs,OXFAM GB,2212389
"Netherlands, Government of",Catholic Organisation for Relief and Development Aid,2205318
South Sudan CHF,Nile Hope,2195241
South Sudan CHF,MEDAIR,2085541
"Denmark, Government of",Danish Red Cross,2049726
"Ireland, Government of",World Vision South Sudan,2039000
Private (individuals & organisations),GOAL,1934402
"Norway, Government of",ACT Alliance / Norwegian Church Aid,1910585
